text,label
你想不想去吃午饭？,平静
哦！我被选中了！,开心
我几天身体好像有点不太舒服，肚子好痛。,伤心
我的小组成员一个都没干活！真后悔跟他一起组队。,生气
他们是不是吵架了？不会打起来吧？,平静
你知道吗？我们班有人交了女朋友！,惊讶
干！他真的有够恶心，卫生习惯有够差。,厌恶
今天你要不要去骑自行车？,平静
我们今天班际篮球赛赢了！！！,开心
今天我和我朋友吵架了。,伤心
有人说我胖！该死！,生气
我好像被我喜欢的人讨厌了。,平静
我刚刚看到有人眉毛像蜡笔小新！,惊讶
为什么我的便当里全是青椒啊！真的是很讨厌吃青椒的！,厌恶
这个星期要去图书馆吗？,平静
我这个星期就要出国旅行了！,开心
我感觉我好像要被当了...,伤心
你知道吗？他们竟然分手了！,惊讶
我昨天梦到有一只超大蜘蛛在追着我跑！,平静
今天去的那家餐厅真的很脏。,厌恶
我终于写出了这个程序！,开心
今天老师骂了我。,伤心
今年的夏天似乎比较晚来。,平静
为什么他们能背后这样批评人，真是不礼貌。,生气
他们两个竟然牵手了！,惊讶
你觉得我今天有什么不同？,平静
又到今年的圣诞节了！,开心
有人竟然在交换礼物时送小番茄？,惊讶
明天就要比赛了，真的很紧张。,平静
这次圣诞节礼物抽到了盗版东西，烦死人了。,厌恶
我刚刚坐在了我好朋友旁边！,开心
黑豹的演员去世了...,伤心
有人背后说我的坏话！,生气
你认为我今年有可能中彩票吗？,平静
听说我们科里有老师要退休了。,惊讶
哎，我不小心吃到了肉！,平静
我妈妈终于让我养狗了！,开心
今天的天气真的很闷。,厌恶
这次表演我犯了一个超级大的错误，我失败了。,伤心
我的同学一直嘲笑我的饮食习惯。,生气
你知道吗？国防老师今年已经四五十岁！,惊讶
最近好像有台风要来了！,惊讶
我终于弄懂了基本电学！,开心
这个老师的规定也太奇怪了吧。,厌恶
昨天骑自行车的时候，我差一点就被车撞了。,平静
我养了三年的鱼今天死了...,伤心
你认为今年的流行趋势会是什么？,平静
有人对公交车上的老人不礼貌！,生气
我刚刚在路上看到一个长得像明星的人！,惊讶
我刚刚收到了大学录取通知书！,开心
这部电影的特效真的很差。,厌恶
我感觉我快要挂了...,平静
我最喜欢的咖啡厅要关了。,伤心
你认为人工智能会影响我们的工作吗？,平静
有人正在网络上盗用我的照片！,生气
我刚发现我家后院有一棵会结果的苹果树哎！,惊讶
我刚刚在公园看到一只会说话的鸽子！,惊讶
我终于存到钱买了一台新相机！,开心
这家店的衣服质量真的很差，穿没几次就坏了。,厌恶
我明天要去见未来的公公婆婆，好紧张...,平静
我最喜欢的作家去世了...,伤心
你认为未来的交通工具会是什么样子？,平静
有人正在网上散布我的个人信息！,生气
我刚刚在抽屉里发现了一张旧彩票，竟然中了大奖！,惊讶
我的论文被东方新闻接受了！,开心
这个政客的言论真的是非常令人反感。,厌恶
我好像听到房子里有奇怪的声音...,平静
我的最好朋友要移民了，以后可能很难见面了。,伤心
你认为学习一门新语言重要吗？,平静
有人公共场所乱扔垃圾！,生气
我刚刚在街上遇到了我的偶像！,惊讶
我刚刚在后院发现了一个古老的时间胶囊！,惊讶
我的宠物狗刚刚学会了一个新把戏！,开心
这个网红的行为真的很令人厌恶。,厌恶
我明天要坐云霄飞车，但我很怕高...,平静
我最喜欢的餐厅因为疫情关门了...,伤心
你认为未来人类会移民火星吗？,平静
有人冒充我在网上诈骗！,生气
我刚刚在旧衣服口袋里找到一张中奖彩票！,惊讶
我终于完成了我的第一本小说！,开心
这家餐厅的卫生条件真的很差。,厌恶
我听说附近可能有食人鱼出没...,平静
我养了十年的盆栽今天枯萎了。,伤心
